team_name,video_id,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30,mean_sentiment_polarity
Manchester City,G1JQc5F-w_g,0.4767,0.8689,0.8934,0.9022,0.7506,0.8555,0.0,0.9337,0.9735,0.4588,0.7845,0.4215,0.0,0.0382,0.0,0.8402,0.9521,0.25,0.7717,-0.4019,0.836,-0.1531,0.1779,0.25,0.1779,0.0258,0.6772,0.0,0.6249,0.8519,0.4746033333333333
Manchester City,ZLcY9eOzdcw,0.6249,0.2732,0.4404,0.0,-0.1531,0.6249,-0.4585,0.4404,0.0,-0.7783,0.9444,0.9201,0.8594,0.0,0.8126,0.0,-0.2023,0.4019,0.7506,0.5859,0.6249,0.8126,0.0,0.4767,-0.0276,0.6597,0.4939,0.8204,0.91,-0.5267,0.34434666666666663
Manchester City,u_Al2My1A6I,0.0,0.7783,0.8883,0.91,0.2732,0.6124,0.4404,0.4404,0.5859,0.5859,0.8625,0.4404,0.0,0.0,0.4404,0.6369,0.8225,0.0,0.0,0.7964,-0.2584,-0.1531,0.0,-0.296,0.0,-0.296,0.6369,0.5267,0.0,0.0,0.32246666666666673
Manchester City,r_F9oPTqNFM,0.1531,0.0,0.743,0.9442,-0.5095,0.34,0.0,-0.4019,0.4404,0.0,0.7351,0.4767,0.7435,0.0,0.7184,0.0,0.5859,0.707,0.0,0.25,0.891,0.6597,0.0772,0.6249,0.5719,-0.0258,0.8807,0.8176,-0.128,0.0,0.34317
Manchester City,6i1Sz7gnEVk,0.7559,0.4767,0.7269,0.9729,0.6908,0.3612,0.5699,0.0516,0.886,0.7003,0.0,0.6808,0.1531,0.9001,0.0,0.6486,0.8519,0.8316,0.7578,0.8204,0.875,0.7184,0.875,0.0516,0.8173,0.6369,0.5984,0.8519,0.765,0.875,0.6300333333333334
Manchester City,OfhJ6zyj5CM,0.7351,0.296,0.34,0.1027,-0.1779,0.4404,0.0,0.9042,-0.5216,0.5423,0.6369,0.8591,0.0,0.7003,0.0,0.0,0.0,-0.5875,0.6249,0.6249,0.8402,0.0,0.9062,0.5719,0.5106,0.5859,0.4939,0.5859,0.5574,0.9678,0.3846533333333334
Manchester City,USvQ14T983Q,-0.9281,0.6705,0.4404,0.9876,0.5994,-0.1027,0.8221,0.4201,0.4939,0.3658,0.0,0.9545,0.7579,0.3182,0.5574,0.659,0.3612,0.7037,0.5719,0.836,0.6705,0.4215,0.8555,0.833,0.836,0.0,0.8176,0.3699,0.3182,0.0,0.4870333333333334
Manchester City,pDRvI9-iYgk,0.0,0.2716,0.5859,0.836,0.6486,0.8176,0.0,0.3182,-0.128,0.0,0.0,0.3182,0.8934,0.5106,-0.2023,0.4215,0.5267,0.0772,-0.0772,-0.1027,0.0,0.7579,-0.2023,0.8979,0.0,0.9666,0.6249,0.8402,-0.2023,0.0,0.31327333333333335
Manchester City,Jrif5xyjigA,0.0,0.3599,0.6249,-0.0516,0.5994,0.5859,0.0,0.4019,0.872,0.5106,0.0,0.875,-0.2263,0.9299,0.2732,0.7717,-0.5574,0.3182,0.7506,0.2732,0.4215,0.9088,0.0,-0.2023,0.7845,0.836,0.5994,0.7579,0.0,0.8126,0.40765
Manchester City,IeTZu21xMWU,0.6124,0.0,0.765,0.7096,0.885,0.4767,0.3182,0.6249,0.0,-0.3612,0.8658,0.0,0.6478,0.0,0.4939,-0.8167,0.0,0.6369,0.8834,0.5158,0.6249,0.0,0.0,-0.4019,0.0,0.0,0.0,0.0,0.9517,0.5994,0.3010533333333333
